,,,Step 1,,,,,Step 2,,,,Step 3,,,Step 4,,,Step 5,,Step 6,,,,Consultation during action plan development,,Consultation during implementation,,,,Government self-assessment report,,,,,,,,,,,,,Institutional Variables,,,,,,,,,,,,
Country name,Action Plan Number,Year AP Submitted,Step 1: Timeline and process: Prior availability,_Timelineavailability,Timeline: Online,Timeline: other channels,Timeline: links,Step 2: Advance notice,_Advance notice,Days in advance,Advance notice: Adequacy,Step 3: Awareness-raising activities,_Awareness-Raising,Awareness-raising activities: Links,Step 4: Online consultations,_Online consultation,Online consultations: Link,Step 5: In-person consultations,_In-person consultations,Step 6: Summary of comments,_Summary of comments,Summary of comments: Link,_Number of steps followed (out of 6),Invitation-only or open participation during dev. consultation,IAP2 level during development,Consultation during action plan implementation (regular forum),_Regular forum,Invitation-only or open participation during imp. consultation,IAP2 level during imp.,Was annual progress report published?,_Self assessment published,Was it done according to schedule?,Is the report available in the local language?,Is the report available in English?,Did the government provide a two-week public comment period on draft self-assessment reports?,Did the report include a review of its public comment period?,Were any public comments received?,Is the report deposited in the OGP portal?,Did the self-assessment report include review of the consultation efforts?,Did the report cover all of the commitments?,Did it assess completion according to schedule?,Did the self-assessment report include review of the consultation efforts on draft self-assessments?,Only one branch,Executive,Multi-agency (1) vs. Single (0),Single Lead,Pres Office/PM,Executive Lead Agency,Ministry of Foreign Affairs,MOFA Lead Agency,Officially Mandated,Legally mandated,Multiple Arrangements,"Implementing agency same as developing agency? 1=Y, 0=N",Change of executive
Brazil,2,2013,Yes,1,Yes,Yes,NA,Yes,1,210,Yes,Yes,1,NA,Yes,1,NA,Yes,1,Yes,1,NA,6,Open,Consult,NR,NR,Open,Consult,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,1,NA,0,NR,1,0,0,1,0
Bulgaria,1,2012,Yes,1,No,No,http://www.strategy.bg/Articles/View.aspx?lang=bg-<br/>BG&categoryId=&Id=5&y=&m=&d=,No,0,NA,No,No,0,NA,Yes,1,NA,Yes,1,Yes,1,http://www.strategy.bg/Articles/View.aspx?lang=bg-<br/>BG&categoryId=&Id=5&y=&m=&d=,4,NR,NR,No,0,NA,NA,Yes,1,No,Yes,No,No,NA,NA,No,No,Yes,No,NR,0,1,1,1,1,1,1,1,1,0,0,0,1
Bulgaria,2,2014,No,0,No,No,NA,Yes,1,4,No,No,0,NA,Yes,1,http://bit.ly/1nZYLdN http://bit.ly/1lCtzWn,Yes,1,Yes,1,http://bit.ly/1Ab1JSt,4,Open,Collaborate,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NR,0,1,1,1,1,0,1,0,1,0,0,1,0
Canada,1,2012,No,0,Yes,Yes,NA,No,0,NA,No,Yes,1,NA,Yes,1,http://data.gc.ca/eng/open-government-<br/>consultation-report,No,0,Yes,1,http://data.gc.ca/eng/open-government-<br/>consultation-report,3,NR,NR,Yes,1,NR,NR,Yes,1,No,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,Yes,NR,1,1,1,1,0,0,1,NR,1,0,1,1,0
Canada,2,2014,Yes,1,Yes,Yes,http://goo.gl/HuKVsm<br/>http://goo.gl/AqPpBr,Yes,1,Unclear,No,Yes,1,http://open.canada.ca/en/stay-connected<br/>http://goo.gl/PEDVhx<br/>http://news.gc.ca/web/articleen.do?nid=848169<br/>http://news.gc.ca/web/articleen.do?nid=842049,Yes,1,http://open.canada.ca/en/consultation s/open-government-action-plan-20- consultation,Yes,1,Yes,1,http://open.canada.ca/en/consultations<br/>/what-we-heard-summary-report<br/>http://open.canada.ca/data/en/dataset/<br/>74aa0e1a-8e13-4ddb-a31e-<br/>129c253a09b3,6,Open,Consult,No,0,Invitation-only,Consult,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,NA,0,NA,1,0,0,1,1
Chile,1,2012,Yes,1,Yes,Yes,http://www.AGA.cl/2011/12/23/<br/><br/>consulta-publica-alianza-para-el-<br/>gobierno-abierto/,Yes,1,8,Yes,Yes,1,http://www.minsegpres.gob.cl/<br/><br/>2011/12/parte-consulta-ciudadana-<br/>sobre-medidas-de-transparencia-y-<br/><br/>participacion-en-chile/,Yes,1,http://www.cdc.gob.cl/2011/12/23/<br/><br/>consulta-publica-alianza-para-el-<br/>gobierno-abierto/,Yes,1,Yes,1,http://www.AGA.cl/wp-<br/>content/uploads/documentos/<br/><br/>310112_Respuestas_a_Consulta_F<br/><br/>inal.pdf,6,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Yes,Yes,No,Yes,Yes,NR,0,1,1,1,1,NA,0,NR,1,0,0,1,0
Chile,2,2014,No,0,Yes,No,NA,No,0,NA,No,No,0,NA,Yes,1,NA,Yes,1,Yes,1,NA,3,Open,Consult,Yes,1,Invitation-only,Involve,Yes,1,Yes,Yes,No,Yes,Yes,NR,No,No,Yes,Yes,NR,1,1,1,1,1,1,1,0,1,0,1,1,1
Colombia,1,2012,No,0,No,No,http://www.urnadecristal.gov.co/acuerdo-y-tematica/plan-de-accion-alianza-gobierno-abierto <br/>http://www.urnadecristal.gov.co/gestion-gobierno/gobierno-abierto-colombia,No,0,NA,No,Yes,1,NA,Yes,1,NA,Yes,1,No,0,NA,3,NR,NR,No,0,NA,NA,Yes,1,Yes,Yes,Yes,Yes,NR,Unclear,Yes,Yes,No,No,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Colombia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,1,1,1,1,0,NA,1,0,0,1,0
Costa Rica,1,2013,No,0,No,No,NA,No,0,NA,No,Yes,1,NA,Yes,1,NA,Yes,1,No,0,NA,3,Open,Inform,Yes,1,Open,Inform,Yes,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,0,1,1,0,1,0,1,0,0,1,1
